id,name,category,company,price,description
251,Metformin 157,Antibiotic,ProHealth,38.05,Metformin 157 is used for antibiotic.
252,Atorvastatin 217,Diabetes,MedPharma,106.94,Atorvastatin 217 is used for diabetes.
253,Diclofenac 228,Diabetes,BreathWell,153.21,Diclofenac 228 is used for diabetes.
254,Omeprazole 663,Antihistamine,CureLabs,127.89,Omeprazole 663 is used for antihistamine.
255,Loratadine 468,Antifungal,LipiCare,151.95,Loratadine 468 is used for antifungal.
256,Azithromycin 128,Antifungal,LipiCare,42.84,Azithromycin 128 is used for antifungal.
257,Diclofenac 825,Diabetes,WellnessPlus,413.25,Diclofenac 825 is used for diabetes.
258,Azithromycin 499,Cholesterol,CureLabs,385.85,Azithromycin 499 is used for cholesterol.
259,Salbutamol 234,Antihistamine,ProHealth,421.91,Salbutamol 234 is used for antihistamine.
260,Loratadine 799,Antibiotic,LipiCare,296.85,Loratadine 799 is used for antibiotic.
261,Azithromycin 476,Antacid,LipiCare,373.85,Azithromycin 476 is used for antacid.
262,Ibuprofen 309,Antacid,HealthCorp,108.95,Ibuprofen 309 is used for antacid.
263,Diclofenac 695,Analgesic,ProHealth,478.19,Diclofenac 695 is used for analgesic.
264,Fluconazole 235,Antifungal,AllergyFree,295.58,Fluconazole 235 is used for antifungal.
265,Loratadine 758,Diabetes,Glucure,195.56,Loratadine 758 is used for diabetes.
266,Metformin 614,Antibiotic,MedPharma,231.26,Metformin 614 is used for antibiotic.
267,Ranitidine 756,Cholesterol,LipiCare,365.83,Ranitidine 756 is used for cholesterol.
268,Fluconazole 125,Antacid,LipiCare,392.47,Fluconazole 125 is used for antacid.
269,Diclofenac 519,Antibiotic,MedLife,444.25,Diclofenac 519 is used for antibiotic.
270,Amoxicillin 139,Antihistamine,CureLabs,40.43,Amoxicillin 139 is used for antihistamine.
271,Ibuprofen 196,Analgesic,WellnessPlus,266.86,Ibuprofen 196 is used for analgesic.
272,Paracetamol 358,Antihistamine,Glucure,156.58,Paracetamol 358 is used for antihistamine.
273,Diclofenac 444,Antihistamine,AllergyFree,69.18,Diclofenac 444 is used for antihistamine.
274,Azithromycin 933,Antibiotic,AllergyFree,262.9,Azithromycin 933 is used for antibiotic.
275,Diclofenac 309,Anti-inflammatory,BreathWell,222.66,Diclofenac 309 is used for anti-inflammatory.
276,Ibuprofen 541,Antacid,BreathWell,194.33,Ibuprofen 541 is used for antacid.
277,Fluconazole 139,Cholesterol,AllergyFree,396.68,Fluconazole 139 is used for cholesterol.
278,Fluconazole 216,Bronchodilator,ProHealth,199.56,Fluconazole 216 is used for bronchodilator.
279,Paracetamol 240,Analgesic,BreathWell,433.98,Paracetamol 240 is used for analgesic.
280,Ranitidine 576,Antifungal,MedLife,104.75,Ranitidine 576 is used for antifungal.
281,Atorvastatin 941,Cholesterol,MedPharma,411.44,Atorvastatin 941 is used for cholesterol.
282,Cetirizine 360,Cholesterol,ProHealth,53.41,Cetirizine 360 is used for cholesterol.
283,Levocetirizine 639,Analgesic,CureLabs,363.8,Levocetirizine 639 is used for analgesic.
284,Levocetirizine 870,Antifungal,MedPharma,238.95,Levocetirizine 870 is used for antifungal.
285,Clindamycin 995,Analgesic,LipiCare,124.47,Clindamycin 995 is used for analgesic.
286,Omeprazole 626,Antihistamine,CureLabs,289.56,Omeprazole 626 is used for antihistamine.
287,Azithromycin 484,Bronchodilator,ProHealth,146.33,Azithromycin 484 is used for bronchodilator.
288,Ranitidine 921,Analgesic,ProHealth,70.6,Ranitidine 921 is used for analgesic.
289,Azithromycin 402,Antifungal,ProHealth,491.36,Azithromycin 402 is used for antifungal.
290,Diclofenac 580,Analgesic,HealthCorp,210.06,Diclofenac 580 is used for analgesic.
291,Metformin 414,Antifungal,WellnessPlus,245.39,Metformin 414 is used for antifungal.
292,Ranitidine 505,Antacid,WellnessPlus,354.75,Ranitidine 505 is used for antacid.
293,Fluconazole 611,Bronchodilator,LipiCare,476.15,Fluconazole 611 is used for bronchodilator.
294,Cetirizine 783,Antifungal,MedLife,434.33,Cetirizine 783 is used for antifungal.
295,Atorvastatin 829,Anti-inflammatory,Glucure,275.84,Atorvastatin 829 is used for anti-inflammatory.
296,Ranitidine 376,Antibiotic,ProHealth,419.05,Ranitidine 376 is used for antibiotic.
297,Amoxicillin 784,Antihistamine,LipiCare,316.84,Amoxicillin 784 is used for antihistamine.
298,Diclofenac 454,Anti-inflammatory,ProHealth,158.86,Diclofenac 454 is used for anti-inflammatory.
299,Cetirizine 292,Antibiotic,ProHealth,116.58,Cetirizine 292 is used for antibiotic.
300,Diclofenac 342,Antacid,AllergyFree,360.7,Diclofenac 342 is used for antacid.
301,Clindamycin 997,Antibiotic,WellnessPlus,296.02,Clindamycin 997 is used for antibiotic.
302,Atorvastatin 607,Bronchodilator,MedPharma,201.46,Atorvastatin 607 is used for bronchodilator.
303,Amoxicillin 589,Cholesterol,Glucure,145.21,Amoxicillin 589 is used for cholesterol.
304,Levocetirizine 267,Antifungal,MedLife,412.98,Levocetirizine 267 is used for antifungal.
305,Fluconazole 646,Bronchodilator,MedLife,493.17,Fluconazole 646 is used for bronchodilator.
306,Ranitidine 160,Anti-inflammatory,MedPharma,449.99,Ranitidine 160 is used for anti-inflammatory.
307,Omeprazole 414,Analgesic,HealthCorp,399.84,Omeprazole 414 is used for analgesic.
308,Diclofenac 517,Antibiotic,ProHealth,149.03,Diclofenac 517 is used for antibiotic.
309,Diclofenac 879,Anti-inflammatory,CureLabs,483.3,Diclofenac 879 is used for anti-inflammatory.
310,Fluconazole 763,Diabetes,MedPharma,126.76,Fluconazole 763 is used for diabetes.
311,Amoxicillin 643,Antibiotic,LipiCare,498.91,Amoxicillin 643 is used for antibiotic.
312,Diclofenac 635,Cholesterol,CureLabs,442.89,Diclofenac 635 is used for cholesterol.
313,Ranitidine 472,Diabetes,HealthCorp,215.93,Ranitidine 472 is used for diabetes.
314,Diclofenac 667,Anti-inflammatory,MedLife,481.0,Diclofenac 667 is used for anti-inflammatory.
315,Clindamycin 582,Analgesic,ProHealth,426.0,Clindamycin 582 is used for analgesic.
316,Fluconazole 292,Antifungal,HealthCorp,438.23,Fluconazole 292 is used for antifungal.
317,Clindamycin 619,Analgesic,ProHealth,147.25,Clindamycin 619 is used for analgesic.
318,Levocetirizine 356,Antifungal,ProHealth,324.8,Levocetirizine 356 is used for antifungal.
319,Diclofenac 997,Antacid,AllergyFree,230.53,Diclofenac 997 is used for antacid.
320,Levocetirizine 196,Analgesic,MedPharma,331.37,Levocetirizine 196 is used for analgesic.
321,Metformin 638,Analgesic,Glucure,476.85,Metformin 638 is used for analgesic.
322,Ranitidine 739,Antacid,LipiCare,270.53,Ranitidine 739 is used for antacid.
323,Clindamycin 923,Antibiotic,HealthCorp,417.64,Clindamycin 923 is used for antibiotic.
324,Ibuprofen 695,Antihistamine,CureLabs,451.32,Ibuprofen 695 is used for antihistamine.
325,Clindamycin 629,Diabetes,LipiCare,376.17,Clindamycin 629 is used for diabetes.
326,Fluconazole 583,Antibiotic,WellnessPlus,425.06,Fluconazole 583 is used for antibiotic.
327,Paracetamol 471,Antifungal,AllergyFree,233.33,Paracetamol 471 is used for antifungal.
328,Clindamycin 639,Antifungal,MedLife,242.67,Clindamycin 639 is used for antifungal.
329,Metformin 920,Antifungal,LipiCare,400.82,Metformin 920 is used for antifungal.
330,Diclofenac 586,Cholesterol,CureLabs,73.98,Diclofenac 586 is used for cholesterol.
331,Levocetirizine 242,Antacid,LipiCare,352.37,Levocetirizine 242 is used for antacid.
332,Omeprazole 785,Antibiotic,ProHealth,243.81,Omeprazole 785 is used for antibiotic.
333,Metformin 898,Anti-inflammatory,ProHealth,286.94,Metformin 898 is used for anti-inflammatory.
334,Ranitidine 897,Anti-inflammatory,AllergyFree,491.74,Ranitidine 897 is used for anti-inflammatory.
335,Cetirizine 767,Analgesic,MedLife,245.58,Cetirizine 767 is used for analgesic.
336,Metformin 475,Anti-inflammatory,AllergyFree,139.74,Metformin 475 is used for anti-inflammatory.
337,Atorvastatin 728,Antacid,WellnessPlus,369.71,Atorvastatin 728 is used for antacid.
338,Azithromycin 656,Diabetes,LipiCare,176.79,Azithromycin 656 is used for diabetes.
339,Amoxicillin 478,Antibiotic,BreathWell,258.0,Amoxicillin 478 is used for antibiotic.
340,Cetirizine 610,Antifungal,CureLabs,370.47,Cetirizine 610 is used for antifungal.
341,Ibuprofen 669,Antifungal,ProHealth,369.09,Ibuprofen 669 is used for antifungal.
342,Omeprazole 125,Cholesterol,CureLabs,235.33,Omeprazole 125 is used for cholesterol.
343,Cetirizine 772,Diabetes,ProHealth,478.07,Cetirizine 772 is used for diabetes.
344,Salbutamol 733,Antifungal,BreathWell,466.01,Salbutamol 733 is used for antifungal.
345,Ranitidine 411,Analgesic,AllergyFree,276.51,Ranitidine 411 is used for analgesic.
346,Ranitidine 850,Antibiotic,MedPharma,279.2,Ranitidine 850 is used for antibiotic.
347,Amoxicillin 263,Cholesterol,CureLabs,362.55,Amoxicillin 263 is used for cholesterol.
348,Ranitidine 827,Cholesterol,BreathWell,498.3,Ranitidine 827 is used for cholesterol.
349,Clindamycin 586,Antacid,ProHealth,109.3,Clindamycin 586 is used for antacid.
350,Salbutamol 997,Analgesic,BreathWell,238.18,Salbutamol 997 is used for analgesic.
351,Metformin 355,Antibiotic,MedLife,65.2,Metformin 355 is used for antibiotic.
352,Fluconazole 942,Bronchodilator,MedLife,333.33,Fluconazole 942 is used for bronchodilator.
353,Cetirizine 984,Bronchodilator,LipiCare,312.36,Cetirizine 984 is used for bronchodilator.
354,Metformin 564,Antacid,HealthCorp,196.39,Metformin 564 is used for antacid.
355,Loratadine 613,Cholesterol,HealthCorp,243.14,Loratadine 613 is used for cholesterol.
356,Amoxicillin 569,Anti-inflammatory,MedLife,162.89,Amoxicillin 569 is used for anti-inflammatory.
357,Amoxicillin 408,Antibiotic,LipiCare,349.77,Amoxicillin 408 is used for antibiotic.
358,Levocetirizine 647,Bronchodilator,LipiCare,315.69,Levocetirizine 647 is used for bronchodilator.
359,Clindamycin 325,Bronchodilator,HealthCorp,274.0,Clindamycin 325 is used for bronchodilator.
360,Fluconazole 983,Antacid,WellnessPlus,389.82,Fluconazole 983 is used for antacid.
361,Levocetirizine 828,Antihistamine,CureLabs,490.04,Levocetirizine 828 is used for antihistamine.
362,Atorvastatin 901,Anti-inflammatory,AllergyFree,335.24,Atorvastatin 901 is used for anti-inflammatory.
363,Ibuprofen 629,Antihistamine,CureLabs,165.46,Ibuprofen 629 is used for antihistamine.
364,Metformin 133,Cholesterol,MedPharma,348.08,Metformin 133 is used for cholesterol.
365,Metformin 696,Antibiotic,HealthCorp,227.39,Metformin 696 is used for antibiotic.
366,Ibuprofen 394,Analgesic,ProHealth,38.13,Ibuprofen 394 is used for analgesic.
367,Amoxicillin 901,Diabetes,WellnessPlus,34.6,Amoxicillin 901 is used for diabetes.
368,Levocetirizine 527,Analgesic,CureLabs,383.01,Levocetirizine 527 is used for analgesic.
369,Atorvastatin 963,Antacid,BreathWell,88.49,Atorvastatin 963 is used for antacid.
370,Ibuprofen 520,Analgesic,AllergyFree,383.13,Ibuprofen 520 is used for analgesic.
371,Loratadine 396,Antihistamine,BreathWell,353.37,Loratadine 396 is used for antihistamine.
372,Ranitidine 438,Analgesic,ProHealth,176.85,Ranitidine 438 is used for analgesic.
373,Azithromycin 353,Antifungal,HealthCorp,62.8,Azithromycin 353 is used for antifungal.
374,Clindamycin 385,Diabetes,AllergyFree,169.18,Clindamycin 385 is used for diabetes.
375,Ibuprofen 508,Cholesterol,MedLife,104.69,Ibuprofen 508 is used for cholesterol.
376,Paracetamol 122,Bronchodilator,WellnessPlus,405.94,Paracetamol 122 is used for bronchodilator.
377,Salbutamol 256,Antihistamine,WellnessPlus,325.14,Salbutamol 256 is used for antihistamine.
378,Salbutamol 846,Cholesterol,MedLife,474.02,Salbutamol 846 is used for cholesterol.
379,Clindamycin 938,Anti-inflammatory,MedLife,197.5,Clindamycin 938 is used for anti-inflammatory.
380,Paracetamol 640,Antihistamine,MedLife,397.12,Paracetamol 640 is used for antihistamine.
381,Paracetamol 375,Analgesic,MedLife,296.27,Paracetamol 375 is used for analgesic.
382,Clindamycin 859,Antihistamine,MedPharma,52.96,Clindamycin 859 is used for antihistamine.
383,Cetirizine 588,Cholesterol,HealthCorp,20.76,Cetirizine 588 is used for cholesterol.
384,Cetirizine 137,Antihistamine,MedPharma,488.29,Cetirizine 137 is used for antihistamine.
385,Fluconazole 688,Antifungal,LipiCare,370.04,Fluconazole 688 is used for antifungal.
386,Salbutamol 279,Anti-inflammatory,Glucure,424.85,Salbutamol 279 is used for anti-inflammatory.
387,Levocetirizine 541,Anti-inflammatory,MedPharma,260.83,Levocetirizine 541 is used for anti-inflammatory.
388,Fluconazole 965,Anti-inflammatory,LipiCare,327.7,Fluconazole 965 is used for anti-inflammatory.
389,Cetirizine 324,Bronchodilator,MedPharma,309.45,Cetirizine 324 is used for bronchodilator.
390,Atorvastatin 837,Cholesterol,AllergyFree,484.26,Atorvastatin 837 is used for cholesterol.
391,Clindamycin 861,Bronchodilator,AllergyFree,277.8,Clindamycin 861 is used for bronchodilator.
392,Salbutamol 203,Antibiotic,AllergyFree,495.87,Salbutamol 203 is used for antibiotic.
393,Levocetirizine 683,Bronchodilator,HealthCorp,365.58,Levocetirizine 683 is used for bronchodilator.
394,Atorvastatin 708,Anti-inflammatory,AllergyFree,267.9,Atorvastatin 708 is used for anti-inflammatory.
395,Salbutamol 904,Diabetes,WellnessPlus,306.42,Salbutamol 904 is used for diabetes.
396,Cetirizine 985,Diabetes,MedPharma,398.96,Cetirizine 985 is used for diabetes.
397,Cetirizine 766,Bronchodilator,HealthCorp,397.21,Cetirizine 766 is used for bronchodilator.
398,Clindamycin 819,Antacid,HealthCorp,257.42,Clindamycin 819 is used for antacid.
399,Salbutamol 755,Antibiotic,BreathWell,190.52,Salbutamol 755 is used for antibiotic.
400,Paracetamol 849,Antihistamine,MedLife,267.14,Paracetamol 849 is used for antihistamine.
401,Atorvastatin 950,Antacid,WellnessPlus,148.55,Atorvastatin 950 is used for antacid.
402,Clindamycin 411,Anti-inflammatory,CureLabs,453.67,Clindamycin 411 is used for anti-inflammatory.
403,Paracetamol 496,Antihistamine,CureLabs,271.2,Paracetamol 496 is used for antihistamine.
404,Atorvastatin 250,Diabetes,CureLabs,407.01,Atorvastatin 250 is used for diabetes.
405,Diclofenac 162,Diabetes,WellnessPlus,237.32,Diclofenac 162 is used for diabetes.
406,Ibuprofen 169,Antibiotic,ProHealth,381.82,Ibuprofen 169 is used for antibiotic.
407,Ranitidine 348,Analgesic,MedPharma,63.39,Ranitidine 348 is used for analgesic.
408,Metformin 606,Diabetes,LipiCare,205.9,Metformin 606 is used for diabetes.
409,Salbutamol 265,Antifungal,ProHealth,481.69,Salbutamol 265 is used for antifungal.
410,Ranitidine 598,Anti-inflammatory,WellnessPlus,392.59,Ranitidine 598 is used for anti-inflammatory.
411,Levocetirizine 706,Diabetes,WellnessPlus,150.27,Levocetirizine 706 is used for diabetes.
412,Amoxicillin 454,Anti-inflammatory,HealthCorp,154.04,Amoxicillin 454 is used for anti-inflammatory.
413,Omeprazole 916,Anti-inflammatory,BreathWell,192.11,Omeprazole 916 is used for anti-inflammatory.
414,Ranitidine 290,Antacid,HealthCorp,89.53,Ranitidine 290 is used for antacid.
415,Paracetamol 615,Analgesic,HealthCorp,487.64,Paracetamol 615 is used for analgesic.
416,Atorvastatin 877,Cholesterol,WellnessPlus,499.8,Atorvastatin 877 is used for cholesterol.
417,Paracetamol 577,Bronchodilator,Glucure,85.01,Paracetamol 577 is used for bronchodilator.
418,Salbutamol 644,Antibiotic,BreathWell,430.16,Salbutamol 644 is used for antibiotic.
419,Azithromycin 459,Diabetes,Glucure,47.95,Azithromycin 459 is used for diabetes.
420,Clindamycin 440,Antacid,WellnessPlus,384.8,Clindamycin 440 is used for antacid.
421,Omeprazole 454,Antacid,WellnessPlus,342.37,Omeprazole 454 is used for antacid.
422,Metformin 688,Anti-inflammatory,LipiCare,498.75,Metformin 688 is used for anti-inflammatory.
423,Ranitidine 112,Anti-inflammatory,MedLife,294.67,Ranitidine 112 is used for anti-inflammatory.
424,Omeprazole 264,Anti-inflammatory,HealthCorp,35.76,Omeprazole 264 is used for anti-inflammatory.
425,Diclofenac 343,Anti-inflammatory,ProHealth,160.11,Diclofenac 343 is used for anti-inflammatory.
426,Cetirizine 259,Cholesterol,ProHealth,113.73,Cetirizine 259 is used for cholesterol.
427,Salbutamol 168,Anti-inflammatory,BreathWell,126.23,Salbutamol 168 is used for anti-inflammatory.
428,Paracetamol 540,Diabetes,CureLabs,385.76,Paracetamol 540 is used for diabetes.
429,Azithromycin 190,Bronchodilator,LipiCare,97.28,Azithromycin 190 is used for bronchodilator.
430,Salbutamol 542,Antibiotic,ProHealth,135.86,Salbutamol 542 is used for antibiotic.
431,Diclofenac 499,Anti-inflammatory,LipiCare,32.29,Diclofenac 499 is used for anti-inflammatory.
432,Paracetamol 294,Bronchodilator,CureLabs,139.7,Paracetamol 294 is used for bronchodilator.
433,Diclofenac 565,Antacid,MedPharma,119.43,Diclofenac 565 is used for antacid.
434,Loratadine 121,Antibiotic,BreathWell,45.81,Loratadine 121 is used for antibiotic.
435,Cetirizine 847,Cholesterol,ProHealth,350.97,Cetirizine 847 is used for cholesterol.
436,Levocetirizine 801,Antihistamine,WellnessPlus,474.21,Levocetirizine 801 is used for antihistamine.
437,Diclofenac 337,Analgesic,BreathWell,350.03,Diclofenac 337 is used for analgesic.
438,Salbutamol 429,Bronchodilator,LipiCare,340.58,Salbutamol 429 is used for bronchodilator.
439,Metformin 893,Anti-inflammatory,WellnessPlus,315.41,Metformin 893 is used for anti-inflammatory.
440,Salbutamol 930,Diabetes,LipiCare,366.06,Salbutamol 930 is used for diabetes.
441,Metformin 713,Antifungal,CureLabs,47.14,Metformin 713 is used for antifungal.
442,Omeprazole 736,Antibiotic,Glucure,152.06,Omeprazole 736 is used for antibiotic.
443,Salbutamol 443,Diabetes,MedLife,229.4,Salbutamol 443 is used for diabetes.
444,Ibuprofen 179,Antacid,MedPharma,58.64,Ibuprofen 179 is used for antacid.
445,Atorvastatin 286,Cholesterol,HealthCorp,178.18,Atorvastatin 286 is used for cholesterol.
446,Azithromycin 190,Analgesic,CureLabs,38.55,Azithromycin 190 is used for analgesic.
447,Ibuprofen 139,Anti-inflammatory,MedLife,171.97,Ibuprofen 139 is used for anti-inflammatory.
448,Diclofenac 845,Antibiotic,HealthCorp,239.35,Diclofenac 845 is used for antibiotic.
449,Cetirizine 943,Diabetes,AllergyFree,392.16,Cetirizine 943 is used for diabetes.
450,Diclofenac 446,Antihistamine,BreathWell,365.04,Diclofenac 446 is used for antihistamine.
451,Ranitidine 894,Analgesic,Glucure,393.91,Ranitidine 894 is used for analgesic.
452,Loratadine 952,Anti-inflammatory,HealthCorp,61.69,Loratadine 952 is used for anti-inflammatory.
453,Levocetirizine 698,Analgesic,Glucure,248.67,Levocetirizine 698 is used for analgesic.
454,Levocetirizine 581,Bronchodilator,CureLabs,492.71,Levocetirizine 581 is used for bronchodilator.
455,Levocetirizine 268,Antibiotic,CureLabs,56.94,Levocetirizine 268 is used for antibiotic.
456,Levocetirizine 740,Diabetes,HealthCorp,357.33,Levocetirizine 740 is used for diabetes.
457,Amoxicillin 208,Antacid,MedLife,57.08,Amoxicillin 208 is used for antacid.
458,Paracetamol 959,Antibiotic,MedLife,198.16,Paracetamol 959 is used for antibiotic.
459,Azithromycin 700,Antihistamine,CureLabs,49.04,Azithromycin 700 is used for antihistamine.
460,Clindamycin 870,Diabetes,HealthCorp,54.81,Clindamycin 870 is used for diabetes.
461,Atorvastatin 618,Cholesterol,MedPharma,346.3,Atorvastatin 618 is used for cholesterol.
462,Azithromycin 998,Antifungal,ProHealth,194.59,Azithromycin 998 is used for antifungal.
463,Metformin 360,Diabetes,HealthCorp,140.6,Metformin 360 is used for diabetes.
464,Paracetamol 556,Anti-inflammatory,WellnessPlus,481.23,Paracetamol 556 is used for anti-inflammatory.
465,Atorvastatin 288,Analgesic,CureLabs,497.13,Atorvastatin 288 is used for analgesic.
466,Metformin 907,Bronchodilator,LipiCare,38.96,Metformin 907 is used for bronchodilator.
467,Metformin 891,Antibiotic,HealthCorp,62.36,Metformin 891 is used for antibiotic.
468,Diclofenac 289,Analgesic,ProHealth,104.55,Diclofenac 289 is used for analgesic.
469,Loratadine 116,Antacid,AllergyFree,194.47,Loratadine 116 is used for antacid.
470,Fluconazole 103,Antihistamine,CureLabs,386.77,Fluconazole 103 is used for antihistamine.
471,Amoxicillin 961,Cholesterol,AllergyFree,450.73,Amoxicillin 961 is used for cholesterol.
472,Atorvastatin 371,Diabetes,Glucure,272.59,Atorvastatin 371 is used for diabetes.
473,Clindamycin 431,Diabetes,HealthCorp,110.52,Clindamycin 431 is used for diabetes.
474,Ibuprofen 323,Anti-inflammatory,CureLabs,108.68,Ibuprofen 323 is used for anti-inflammatory.
475,Diclofenac 354,Bronchodilator,MedLife,422.05,Diclofenac 354 is used for bronchodilator.
476,Ibuprofen 301,Cholesterol,MedLife,374.54,Ibuprofen 301 is used for cholesterol.
477,Cetirizine 453,Antibiotic,AllergyFree,139.25,Cetirizine 453 is used for antibiotic.
478,Levocetirizine 969,Antihistamine,LipiCare,151.23,Levocetirizine 969 is used for antihistamine.
479,Clindamycin 365,Antacid,MedLife,341.28,Clindamycin 365 is used for antacid.
480,Loratadine 416,Diabetes,AllergyFree,457.84,Loratadine 416 is used for diabetes.
481,Fluconazole 318,Cholesterol,Glucure,490.79,Fluconazole 318 is used for cholesterol.
482,Loratadine 574,Antifungal,MedLife,171.45,Loratadine 574 is used for antifungal.
483,Levocetirizine 396,Antacid,CureLabs,453.07,Levocetirizine 396 is used for antacid.
484,Levocetirizine 588,Diabetes,WellnessPlus,21.53,Levocetirizine 588 is used for diabetes.
485,Atorvastatin 174,Diabetes,BreathWell,396.58,Atorvastatin 174 is used for diabetes.
486,Omeprazole 800,Analgesic,MedLife,293.7,Omeprazole 800 is used for analgesic.
487,Metformin 149,Antifungal,MedPharma,252.13,Metformin 149 is used for antifungal.
488,Azithromycin 294,Cholesterol,BreathWell,263.91,Azithromycin 294 is used for cholesterol.
489,Paracetamol 209,Antihistamine,BreathWell,41.31,Paracetamol 209 is used for antihistamine.
490,Atorvastatin 422,Analgesic,AllergyFree,427.07,Atorvastatin 422 is used for analgesic.
491,Azithromycin 673,Analgesic,CureLabs,475.53,Azithromycin 673 is used for analgesic.
492,Levocetirizine 396,Diabetes,BreathWell,29.3,Levocetirizine 396 is used for diabetes.
493,Diclofenac 569,Antibiotic,Glucure,440.17,Diclofenac 569 is used for antibiotic.
494,Amoxicillin 909,Bronchodilator,LipiCare,292.2,Amoxicillin 909 is used for bronchodilator.
495,Ibuprofen 451,Antihistamine,ProHealth,426.8,Ibuprofen 451 is used for antihistamine.
496,Atorvastatin 653,Antifungal,CureLabs,462.17,Atorvastatin 653 is used for antifungal.
497,Amoxicillin 311,Anti-inflammatory,HealthCorp,470.62,Amoxicillin 311 is used for anti-inflammatory.
498,Paracetamol 373,Antibiotic,MedLife,221.19,Paracetamol 373 is used for antibiotic.
499,Diclofenac 876,Antihistamine,BreathWell,84.34,Diclofenac 876 is used for antihistamine.
500,Amoxicillin 725,Analgesic,AllergyFree,22.13,Amoxicillin 725 is used for analgesic.
